sudo: unable to resolve host ip-10-100-0-186: Name or service not known
sudo: unable to resolve host ip-10-100-0-186: Name or service not known
2026-09-22T08:31:51.713Z	info	isupipe-benchmarker	SSL接続が有効になっています
2026-09-22T08:31:51.713Z	info	isupipe-benchmarker	静的ファイルチェックを行います
2026-09-22T08:31:51.713Z	info	isupipe-benchmarker	静的ファイルチェックが完了しました
2026-09-22T08:31:51.713Z	info	isupipe-benchmarker	webappの初期化を行います
2026-09-22T08:31:51.713Z	info	staff-logger	bench/bench.go:172	SSL接続が有効になっています
2026-09-22T08:31:51.713Z	info	staff-logger	bench/bench.go:193	webapp: https://pipe.u.isucon.local:443
2026-09-22T08:31:51.713Z	info	staff-logger	bench/bench.go:194	nameserver: 10.100.0.155:53
2026-09-22T08:32:07.045Z	info	isupipe-benchmarker	ベンチマーク走行前のデータ整合性チェックを行います
2026-09-22T08:32:24.962Z	info	isupipe-benchmarker	整合性チェックが成功しました
2026-09-22T08:32:24.962Z	info	isupipe-benchmarker	ベンチマーク走行を開始します
2026-09-22T08:32:24.972Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T08:32:24.972Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T08:32:24.972Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T08:32:24.972Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T08:32:24.972Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T08:32:24.972Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T08:32:24.972Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T08:32:24.972Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T08:32:24.972Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T08:32:24.973Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T08:32:25.279Z	info	staff-logger	scenario/streamer.go:48	change icon
2026-09-22T08:32:25.458Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T08:32:25.458Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T08:32:25.458Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T08:32:25.634Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T08:32:25.634Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T08:32:25.634Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T08:32:25.835Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T08:32:25.835Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T08:32:25.835Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T08:32:25.879Z	info	staff-logger	scenario/streamer.go:48	change icon
2026-09-22T08:32:26.013Z	info	staff-logger	scenario/viewer.go:46	change icon
2026-09-22T08:32:26.047Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T08:32:26.089Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T08:32:26.144Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T08:32:26.144Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T08:32:26.144Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T08:32:26.233Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T08:32:26.481Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T08:32:26.695Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T08:32:26.695Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T08:32:26.695Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T08:32:26.923Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T08:32:26.923Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T08:32:26.923Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T08:32:26.972Z	info	isupipe-benchmarker	DNS水責め負荷が上昇します	{"parallelis": 3}
2026-09-22T08:32:27.126Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T08:32:27.126Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T08:32:27.126Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T08:32:27.461Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T08:32:27.461Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T08:32:27.461Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T08:32:27.462Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T08:32:27.644Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T08:32:27.644Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T08:32:27.644Z	info	staff-logger	scenario/viewer.go:83	visit livestream
2026-09-22T08:32:27.687Z	info	staff-logger	scenario/streamer.go:48	change icon
2026-09-22T08:32:29.264Z	info	staff-logger	scenario/viewer.go:32	basic viewer scenario
2026-09-22T08:32:29.265Z	info	staff-logger	scenario/viewer.go:56	visit top
2026-09-22T08:32:29.265Z	info	staff-logger	scenario/viewer.go:64	get livestream
2026-09-22T08:32:29.265Z	info	staff-logger	scenario/viewer.go:83	visit livestream
